Name,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,First Year,Last Year,Tenure,Consecutive,Positions
"SIMONSSON, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Ledamot,"Direktör, tj. f. ordförande",Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1956,39,True,"Direktör | Ledamot | Direktör, tj. f. ordförande"
"OSSBAHR, RICHARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906,1935,30,True,
"NYSTRÖM, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,1938,22,False,
"HEMSTAD, TORD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. direktör.,Verkst. direktör,Verkst. direktör,,Verkst. direktör,Verkst. direktör,Verkst. direktör,Verkst. direktör,Verkst. direktör,direktör,Verkst. direktör,,,,,Verkst. direktör,Verkst. direktör,verkst. direktör,"civilingenjör, Stockholm, verkst. direktör",,,Verkst. direktör,Verkst. direktör,"civilingenjör, Stockholm, verkst. direktör",,1955,1978,20,False,"Verkst. direktör. | verkst. direktör | direktör | civilingenjör, Stockholm, verkst. direktör | Verkst. direktör"
"PLOMGREN, CARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advokat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1968,20,False,Advokat
"SJÖQVIST, ARVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,"Arkitekt, verkställande direktör",verkställande direktör,"Arkitekt, verkställande direktör",Verkställande direktör,"Arkitekt, verkställande direktör","Arkitekt, verkställande direktör",Verkst. direktör.,Verkst. direktör.,Verkst. direktör.,Verkst. direktör,Verkst. direktör.,Verkst. direktör,Verkst. direktör.,Verkst. direktör,,,,,,,,,,,,,,,,,,,,,,,,,,1933,1954,20,False,"Verkst. direktör. | verkställande direktör | Verkställande direktör | Arkitekt, verkställande direktör | Verkst. direktör"
"NESSEN, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingenjör,"ingenjör, Stockholm",ingenjör,ingenjör,ingenjör,,,,1955,1976,19,False,"ingenjör, Stockholm | ingenjör"
"PLOMGREN, CARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,"Överstelöjtnant, ordförande",ordförande,"Överstelöjtnant, ordförande",Ordförande,Advokat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,1964,19,False,"Ordförande | ordförande | Advokat | Överstelöjtnant, ordförande"
"OSSBAHR, CARL PATRIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protokollssekreterare,Protokollssekreterare,Protokollssekreterare,Protokollssekreterare,Ledamot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,1963,17,False,Ledamot | Protokollssekreterare
"HENRIQUES, PONTUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,1932,16,True,
"RUBENSON, SEMMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,1916,16,True,
"TENGBOM, ANDERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arkitekt,"arkitekt, Drottningholm",arkitekt,arkitekt,arkitekt,,"arkitekt, Drottningholm",arkitekt,1964,1979,15,False,"arkitekt, Drottningholm | arkitekt"
"LEIJONHUFVUD, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,1915,14,False,
"TENGBOM, IVAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professor, ordförande",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1959,13,False,"Professor, ordförande"
"DOUGLAS, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1970,12,False,
"ANKARCRONA, STEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,"advokat, Stockholm, ordförande",ordförande,"advokat, ordförande",ordförande,ordförande,,,1967,1977,11,True,"ordförande | advokat, ordförande | advokat, Stockholm, ordförande"
"SCHULTZ, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1920,8,False,
"OSSBAHR, CARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protokollssekreterare,Protokollssekreterare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,1962,7,False,Protokollssekreterare
"ÖRTENBLAD, C. O. T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,1911,7,False,
"KINBERG, HENNING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922,1927,6,True,
"SALANDER, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1964,5,True,
"Sundell, Yngve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,"direktör, Saltsjö-Duvnäs",direktör,direktör,direktör,,,,1972,1976,5,True,"direktör, Saltsjö-Duvnäs | direktör"
"Douglas, Archibald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,"direktör, New York",direktör,direktör,,,,,1972,1975,4,True,"direktör, New York | direktör"
"Haak, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,"direktör, Lidingö",direktör,1976,1979,4,True,"direktör, Lidingö | direktör"
NYSTRÖM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1935,4,False,
"SCHRÖDER, HUGO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,"Direktör, vice ordförande",vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1942,4,False,"Direktör, vice ordförande | vice ordförande"
"Alexandersson, Harald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,"direktör, Stockholm",direktör,1977,1979,3,True,"direktör, Stockholm | direktör"
"BIÖRKLUND, HENNING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,1904,3,True,
"CHAMPS, C. E. de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,1911,3,True,
"Carleson, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finanschef,"finanschef, Täby",finanschef,1977,1979,3,True,"finanschef, Täby | finanschef"
Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,1966,3,False,
"RINMAN, CHRISTIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1907,3,True,
"ÅKERSTRÖM, B. A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,1905,3,False,
ÖRTENBLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,1910,3,False,
