Name,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,First Year,Last Year,Tenure,Consecutive,Positions
"Göransson, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1957,28,False,
"Koraen, Axel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,1945,28,False,
"Sebardt, Wilhelm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1943,28,False,
"Söderlund, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektör,ordförande,ordförande,ordförande,ordförande,ordförande,"Bankdirektör, ordförande",ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1966,24,True,"ordförande | Bankdirektör, ordförande | Bankdirektör"
"Yngström, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1941,24,False,
"Wärn, Tage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,,,,Direktör,,,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1968,23,True,Direktör
"MAGNUSON, LENNART",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruksdisponent,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,Verkst. dir.,"Civilingenjör, vice ordförande","Civilingenjör, vice ordförande",Civilingenjör,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,,,,,,,,,,,,1960,1982,22,False,"Verkst. dir. | Civilingenjör, vice ordförande | Civilingenjör | Bruksdisponent | vice ordförande"
"Magnusson, Viktor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,1957,20,True,
"Magnuson, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,1950,18,False,
"STENBECK, HUGO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advokat,Advokat,vice ordförande,vice ordförande,vice ordförande,vice ordförande,"Advokat, vice ordförande",vice ordförande,,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1975,18,True,"ordförande | Advokat, vice ordförande | Advokat | vice ordförande"
"Magnuson, Tord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1927,17,True,
"BAHRKE, SIGVARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,Direktör,Direktör,,,Direktör,Direktör,Direktör,,Direktör,,,,,,,,,,,,,,,,,1968,1982,15,True,Direktör
Göransson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1954,15,False,
"LANDQVIST, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Docent,Docent,,Docent,Docent,,,Docent,Docent,Docent,,Docent,,,,,,,,,,,,,,,,,1968,1982,15,True,Docent
"WESTERBERG, ARNE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"verkst, dir.",werkst dir.,verkst. dir.,verkst. direktör,verkst. direktör,verkst. direktör,verkst. direktör,,,"Bruksdisponent, verkst. direktör","Bruksdisponent, verkst. direktör",Bruksdisponent,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,1967,1982,15,False,"verkst, dir. | Bruksdisponent | werkst dir. | verkst. direktör | Bruksdisponent, verkst. direktör | verkst. dir. | ordförande"
"Barnevik, Percy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordförande,Ordförande,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,1983,1997,14,False,Ordförande | Chairman
"Eriksson, Per-Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,President,President,President,President,President,President,President,President,Director,,,,1983,1997,14,False,Director | Verkställande direktör | President
