Name,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1997,1999,2000,First Year,Last Year,Tenure,Consecutive,Positions
"Olving, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professor, Chalmers Tekniska Högskola","Professor, Chalmers Tekniska Högskola","Vice-chancellor, Chalmers Institute of Technology",Vice-Chancellor Chalmers Institute of Technology,"Vice-Chancellor, Chalmers Institute of Technology, Gothenburg","Vice Chancellor, Chalmers Institute of Technology, Göteborg","Vice Chancellor, Chalmers Institute of Technology","Vice Chancellor, Chalmers Institute of Technology","Vice Chancellor, Chalmers Institute of Technology",,,"Vice Chancellor, Chalmers Institute of Technology",,,,Board Member,,Deputy member,,Professor,,,,,,1967,1995,27,False,"Vice-Chancellor Chalmers Institute of Technology | Board Member | Deputy member | Professor | Professor, Chalmers Tekniska Högskola | Vice-Chancellor, Chalmers Institute of Technology, Gothenburg | Vice Chancellor, Chalmers Institute of Technology | Vice-chancellor, Chalmers Institute of Technology | Vice Chancellor, Chalmers Institute of Technology, Göteborg"
"Bystedt, Gösta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Managing Director (President),Managing Director (President),Managing Director (President),Managing Director (President),Managing Director (President),Managing Director (President),Managing Director,Chief Executive Officer,Chief Executive Officer,Chief Executive Officer,Group Chief Executive,"Chief Executive Officer, Deputy Chairman",,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,,,1970,1997,26,False,"Group Chief Executive | Chief Executive Officer | Managing Director (President) | Deputy Chairman | Managing Director | Chief Executive Officer, Deputy Chairman"
"Engberg, Axel",,,,,,,,,,,,,,,,,vice Verkställande Direktör,vice Verkställande Direktör,,,vice Verkställande Direktör,vice Verkställande Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1956,24,False,vice Verkställande Direktör
"Salmonson, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice Chairman,Vice Chairman,Vice Chairman,Vice Chairman,Vice Chairman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,1965,24,False,Vice Chairman
"Siegbahn, Manne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1956,24,False,
"Werthen, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Managing Director,Managing Director,Managing Director,,,,,Executive Chairman,Executive Chairman,Chairman (Executive),Executive Chairman,Chairman (executive),Chairman of the Board (Executive),Chairman of the Board,Chairman of the Board,Chairman of the Board,Chairman,Chairman,Chairman,,Chairman,Chairman,Chairman,Chairman of the Board,Honorary Chairman of the Board,,,,,,,,1967,1991,24,False,Chairman of the Board | Honorary Chairman of the Board | Chairman | Chairman (executive) | Chairman (Executive) | Executive Chairman | Managing Director | Chairman of the Board (Executive)
"Palmstierna, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deputy Managing Director (Executive Vice President), Skandinaviska Enskilda Banken",Managing Director (President) Skandinaviska Enskilda Banken,"Managing Director (President), Skandinaviska Enskilda Banken","Managing Director (President), Skandinaviska Enskilda Banken","Managing Director, Skandinaviska Enskilda Banken","Managing Director, Skandinaviska Enskilda Banken","Managing Director, Skandinaviska Enskilda Banken","Managing Director, Skandinaviska Enskilda Banken","Managing Director, Skandinaviska Enskilda Banken",,,President of Skandinaviska Enskilda Banken,,,,Board Member,,,,,,,,,,1970,1990,20,False,"Board Member | Managing Director (President) Skandinaviska Enskilda Banken | Deputy Managing Director (Executive Vice President), Skandinaviska Enskilda Banken | Managing Director (President), Skandinaviska Enskilda Banken | President of Skandinaviska Enskilda Banken | Managing Director, Skandinaviska Enskilda Banken"
"VRETHEM, Åke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deputy Chairman, ASEA","Deputy Chairman, ASEA","Deputy Chairman of the Board, ASEA","Deputy Chairman of the Board, ASEA","Deputy Chairman of the Board, ASEA","Deputy Chairman of the Board, ASEA AB",Deputy Chairman of the Board,"Deputy Chairman of the Board, ASEA AB",,,,,,,,,,,,,,,,,,1962,1981,19,False,"Deputy Chairman of the Board, ASEA | Deputy Chairman of the Board, ASEA AB | Deputy Chairman of the Board | Deputy Chairman, ASEA"
"Widell, Sten",,,,,,,,,,,,,,,,,,vice Verkställande Direktör,,,vice Verkställande Direktör,vice Verkställande Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,1964,19,False,vice Verkställande Direktör
"Sahlin, Gustaf",,,,,,,,,,,,,,,,,,Verkställande Direktör,,,Verkställande Direktör,Verkställande Direktör,,Verkställande direktör,,,,,,,,,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,1962,18,False,Verkställande Direktör | Verkställande direktör | Chairman
