Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,2000,2001,First Year,Last Year,Tenure,Consecutive,Positions
"Olsson, Curt",,,,,,Verkställande direktör,bankdirektör,,,Verkställande Direktör,"Förste vice ordförande, koncernansvarig",Förste vice ordförande,Styrelsens ordförande,ordförande,,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,ordförande,Styrelsens ordförande,Ordförande,Ordförande,Styrelsens ordförande,Styrelsens ordförande,,,,,1976,1995,20,True,"Förste vice ordförande, koncernansvarig | Ordförande | Förste vice ordförande | Verkställande direktör | Styrelsens ordförande | bankdirektör | ordförande | Verkställande Direktör"
"Wallenberg, Peter",,,,,,,direktör,,,Vice ordförande,Vice ordförande,Vice ordförande,,Vice ordförande,,,,,,"Förste vice ordförande, tillika ordförande i stockholmsstyrelsen",Förste vice ordförande,Vice ordförande,,Vice Ordförande,,,,,1974,1995,15,False,"Förste vice ordförande, tillika ordförande i stockholmsstyrelsen | Förste vice ordförande | Vice Ordförande | direktör | Vice ordförande"
"Cavalli-Björkman, Hans",,,,,,,bankdirektör,,,Verkställande Direktör,Verkställande direktör,,,,,,,,,,,,,,,,,,1976,1991,14,False,bankdirektör | Verkställande Direktör | Verkställande direktör
"Gyllenhammar, Pehr",,,,,,,,,,,,,,,,,,,,"Vice ordförande, tillika ordförande i göteborgsstyrelsen",Vice ordförande,Vice ordförande,,,,,,,1982,1993,10,False,"Vice ordförande | Vice ordförande, tillika ordförande i göteborgsstyrelsen"
"Palmstierna, Jacob",,,,,,Verkställande direktör,bankdirektör,,,Verkställande Direktör,Verkställande direktör,,,,,,,,,,,,,,,,,,1976,1988,10,False,bankdirektör | Verkställande Direktör | Verkställande direktör
"Nordmark, Carl Henrik",,,,,,,ordförande,,,,,,,,,,,,,,,,,,,,,,1974,1989,9,False,ordförande
"Ekman, Wilhelm",,,,"bruksdisponent, f d verkställande direktör",,,bruksdisponent,,,,,,,,,,,,,,,,,,,,,,1972,1981,8,False,"bruksdisponent, f d verkställande direktör | bruksdisponent"
"JOHANSSON, LENNART",,,,,,,,,,,,Vice ordförande,,Vice ordförande,,,,,,,,,,,,,,,1981,1990,8,False,Vice ordförande
"Lindh, Sten",,,,"ambassadör, verkställande direktör",,,ambassadör,,,,,Vice ordförande,,,,,,,,,,,,,,,,,1974,1983,8,False,"Vice ordförande | ambassadör | ambassadör, verkställande direktör"
"Oskarsson, Ingegärd",,,,,,Av regeringen utsedda ledamöter,fru,,,,,,,,,,,,,Av regeringen utsedda ledamöter,,,,,,,,,1977,1991,8,False,Av regeringen utsedda ledamöter | fru
"THUNHOLM, LARS-ERIK",,,,bankdirektör,Ordförande,ordförande,,,,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,,,,,,,,,,,,,,,,,1973,1983,8,False,bankdirektör | ordförande | Ordförande | Styrelsens ordförande
"Åkerman, Alf",,,,,,Verkställande direktör,bankdirektör,,,Verkställande Direktör,Verkställande direktör,,,,,,,,,,,,,,,,,,1976,1983,8,True,bankdirektör | Verkställande Direktör | Verkställande direktör
"Daun, Tore",,,,,,,,,,,,,,,,,,,,,ledamot,,,Direktör,,Direktör,,,1989,1997,7,False,ledamot | Direktör
"Johnson, Axel Ax:son",,,,"bergsingenjör, verkställande direktör",Vice ordförande,Vice ordförande,,,,,,,,,,,,,,,,,,,,,,,1972,1981,7,False,"Vice ordförande | bergsingenjör, verkställande direktör"
"Sahlberg, Karl-Erik",,,,,,,,,,,,,,,,,,,,"Vice ordförande, tillika ordförande i malmöstyrelsen",Vice ordförande,,,Vice Ordförande,STYRELSENS ORDFÖRANDE,,,,1989,1996,7,False,"Vice ordförande | STYRELSENS ORDFÖRANDE | Vice Ordförande | Vice ordförande, tillika ordförande i malmöstyrelsen"
"Söderberg, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1991,7,False,
"WALLENBERG, MARCUS",,Styrelsens ordförande,,Styrelsens ordförande,Hedersordförande,Hedersordförande,,,,Hedersordförande,,,,,,,,,,,,,,"Vice VD, Investor AB",,Vice VD i Investor.,,,1973,1997,7,False,"Vice VD i Investor. | Styrelsens ordförande | Hedersordförande | Vice VD, Investor AB"
"Andersson, Leif",,,,,,,,,,,,,,,,,,,,Av regeringen utsedda ledamöter,,,,,,,,,1985,1991,6,False,Av regeringen utsedda ledamöter
"Björck, Gösta",,,,,,Av regeringen utsedda ledamöter,ombudsman,,,,,,,,,,,,,,,,,,,,,,1972,1983,6,False,Av regeringen utsedda ledamöter | ombudsman
"Blom, Rolf",,,,,,,,,,,,,,,,,,,,,ledamot,,,"Förbundsordförande, Finansförbundet",,,,,1986,1995,6,False,"ledamot | Förbundsordförande, Finansförbundet"
"CAVALLIUS, ROLF",,,,,,,,,,Verkställande direktör,,,,,,,,,,,,,,,,,,,1981,1988,6,False,Verkställande direktör
"Carlsson, Per",,,,"direktör, ordförande",,,,,,,,,,,,,,,,,,,,,,,,,1972,1977,6,True,"direktör, ordförande"
"Ende, Erik",,,,,,Av de anställda utsedda ledamöter,bankkamrer,,,,,,,,,,,,,,,,,,,,,,1976,1983,6,False,Av de anställda utsedda ledamöter | bankkamrer
"Gustafsson, Sten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1991,6,False,
"Linander, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1989,6,False,
"Meidner, Rudolf",,,,fil dr,,Av regeringen utsedda ledamöter,fil dr,,,,,,,,,,,,,,,,,,,,,,1972,1978,6,False,Av regeringen utsedda ledamöter | fil dr
"WALDENSTRÖM, ERLAND",,Förste vice ordförande,,"direktör, styrelseordförande",Vice ordförande,Vice ordförande,,,,Förste vice ordförande,,,,,,,,,,,,,,,,,,,1973,1981,6,False,"Vice ordförande | direktör, styrelseordförande | Förste vice ordförande"
"Westerberg, Karin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1991,6,False,
"Barnekow, Rutger",,,,,,,,,,,Verkställande direktör,,,,,,,,,,,,,,,,,,1982,1989,5,False,Verkställande direktör
"Nicolin, Curt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1990,5,False,
"Ståhlbrandt, Åke",,,,,Vice ordförande,Vice ordförande,,,,Vice ordförande,Vice ordförande,,,,,,,,,,,,,,,,,,1974,1982,5,False,Vice ordförande
"de Geer, Carl",,,,verkställande direktör,,,,,,,,,,,,,,,,,,,,,,,,,1972,1976,5,True,verkställande direktör
"Önnesjö, Karl Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1988,5,False,
"Andersson, Rune",,,,,,,,,,,,,,,,,,,,,ledamot,,,Ledamot,,,,,1991,1995,4,False,ledamot | Ledamot
"Blennow, Ingemar",,,,verkställande direktör,,,direktör,,,,,,,,,,,,,,,,,,,,,,1975,1978,4,True,verkställande direktör | direktör
"Bonnier Jr, Albert",,,,"bokförläggare, verkställande direktör",,,,,,,,,,,,,,,,,,,,,,,,,1972,1975,4,True,"bokförläggare, verkställande direktör"
"Broström, Dan-Axel",,,,skeppsredare,,,,,,,,,,,,,,,,,,,,,,,,,1972,1975,4,True,skeppsredare
"ENGELLAU, GUNNAR",,Vice ordförande,,"tekn dr, ordförande",Vice ordförande,Vice ordförande,,,,,,,,,,,,,,,,,,,,,,,1973,1977,4,False,"Vice ordförande | tekn dr, ordförande"
"Gille, Ragnar",,,,,,Av de anställda utsedda ledamöter,bankkamrer,,,,,,,,,,,,,,,,,,,,,,1976,1981,4,False,Av de anställda utsedda ledamöter | bankkamrer
"Haak, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,1991,4,True,
"Herslow, Ernst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1988,4,False,
"Jensen, Ulf",,,,,,,,,,,,,,,,,,,,,,,,Bankkamrer,,,Director,Ledamot (anställd),1995,2001,4,False,Bankkamrer | Ledamot (anställd) | Director
"Lagergren, Gunnar",,,,,,,riksmarskalk,,,,,,,,,,,,,,,,,,,,,,1977,1981,4,False,riksmarskalk
"Magnusson, Erik",,,,f d förbundsordförande,,,,,,,,,,,,,,,,,,,,,,,,,1972,1976,4,False,f d förbundsordförande
"Mannerfelt, Carl",,,,,,,fil dr,,,,,,,,,,,,,,,,,,,,,,1976,1981,4,False,fil dr
"Pettersson, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1990,4,False,
"Svanberg, Ingvar",,,,riksdagsman,,,,,,,,,,,,,,,,,,,,,,,,,1972,1976,4,False,riksdagsman
"Svedberg, Björn",,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör och koncernchef,Verkställande direktör och koncernchef,VERKSTÄLLANDE DIREKTÖR,,,,1993,1996,4,True,VERKSTÄLLANDE DIREKTÖR | Verkställande direktör och koncernchef
"Wachtmeister, Knut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,1991,4,True,
"Öberg, Lars",,,,,,,,,,,,,,,,,,,,,ledamot,,,Verkställande Direktör,,,,,1991,1995,4,False,ledamot | Verkställande Direktör
"Ahlborn, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1990,3,False,
"Dahlbäck, Claes",,,,,,,,,,,,,,,,,,,,,,,,,,Styrelsens vice ordförande,Deputy Chairman,Vice ordförande,1997,2001,3,False,Vice ordförande | Deputy Chairman | Styrelsens vice ordförande
"Gorthon, Stig",vice ordförande,Vice ordförande,,"skeppsredare, ordförande",,,,,,,,,,,,,,,,,,,,,,,,,1972,1975,3,False,"Vice ordförande | skeppsredare, ordförande | vice ordförande"
"Holm, Tryggve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1974,3,True,
"Jansson, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,Director,Ledamot,1997,2001,3,False,Ledamot | Director
"Johannesson, Tuve",,,,,,,,,,,,,,,,,,,,,,,,,,,Director,Ledamot,1997,2001,3,False,Ledamot | Director
"Johnson, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1986,3,False,
"Karlsson, Rolf",,,,,,,,,,,,,,,,,,,,,ledamot,,,Chefstjänsteman,,,,,1992,1997,3,False,ledamot | Chefstjänsteman
"Lindquist, Inger G",,,,,,Av regeringen utsedda ledamöter,rådman,,,,,,,,,,,,,,,,,,,,,,1977,1981,3,False,Av regeringen utsedda ledamöter | rådman
"MUNCK, HANS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1976,3,False,
"Magnusson, P-O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,1988,3,False,
"Mannheimer, Love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1974,3,True,
"Ramfors, Bo",,,,,,,,,,,,,,,,,,,Koncernchef,,,,,,,,,,1986,1990,3,False,Koncernchef
