Name,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,First Year,Last Year,Tenure,Consecutive,Positions
"Torstenson, Lennart",,,,,,,,,Direktör,,Bruksdisponent,bruksdisponent,bruksdisponent,Bruksdisponent,,Bruksdisponent,Bruksdisponent,,,"Verkställande direktör,
Malmö",LEDAMÖTER,LEDAMÖTER,,,,,,,,1959,1981,22,False,"Bruksdisponent | LEDAMÖTER | bruksdisponent | Direktör | Verkställande direktör,
Malmö"
"Ager, Bertil",,,,,,,,Direktör,Direktör,,Direktör,direktör,direktör,Direktör,,Direktör,Direktör,,,,,,,,,,,,,1959,1975,17,True,Direktör | direktör
"Laurin, Ulf",,,,,,,,,,,,verkställande direktör,verkställande direktör,Verkställande direktör,,,,,VD,"VD
Ordf",LEDAMÖTER,LEDAMÖTER,verkställande direktör,VD,Verkställande Direktör,verkställande direktör,,Verkställande direktör,,1970,1987,16,False,"LEDAMÖTER | verkställande direktör | VD
Ordf | Verkställande direktör | Verkställande Direktör | VD"
"Lindskog, Sten",ordförande,,ORDFÖRANDE,ORDFÖRANDE,ORDFÖRANDE,ORDFÖRANDE,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,ordförande,Styrelsens ordförande,ordförande,styrelsens ordförande,Styrelsens ordförande,ordförande,,,,,,,,,,,,,,,1959,1973,15,True,ordförande | Styrelsens ordförande | styrelsens ordförande | ORDFÖRANDE
"Kyhlberg, Olof",,,,,,,,,,,,,direktör,Bankdirektör,,Styrelsens vice ordförande,Styrelsens vice ordförande,v.ordf,V.ordf,,LEDAMÖTER,LEDAMÖTER,,,Bankdirektör,,,,,1971,1984,13,False,V.ordf | v.ordf | Styrelsens vice ordförande | LEDAMÖTER | direktör | Bankdirektör
"Langebæk, Steen",,,,,,,,,,,,,,,,,,,,,LEDAMÖTER,LEDAMÖTER,,,Landsretssagförer,,,,,1976,1987,11,False,Landsretssagförer | LEDAMÖTER
"Lindberg, Per",,,,,,,,,,,,,,,,,,,,,LEDAMÖTER,LEDAMÖTER,ordförande,ordförande,VD,ordförande,,Styrelseordförande,,1976,1987,11,False,Styrelseordförande | ordförande | LEDAMÖTER | VD
"Lindeblad, Göran",,,,,,,,,,,,,,,,,,,,"Direktör, Göteborg",LEDAMÖTER,LEDAMÖTER,,,Vice VD,,,,,1976,1987,11,False,"LEDAMÖTER | Vice VD | Direktör, Göteborg"
"Laurin, Knut",Verkst. dir.,Verkst. dir.,,VERKSTÄLLANDE DIREKTÖR,VERKSTÄLLANDE DIREKTÖR,VERKSTÄLLANDE DIREKTÖR,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,"Direktör, Verkställande direktör",,,,,,,,,,,,,,,,,,,1959,1969,10,False,"Verkst. dir. | VERKSTÄLLANDE DIREKTÖR | Verkställande direktör | Direktör, Verkställande direktör"
"Odelfelt, Bertil",,,,,,VICE ORDFÖRANDE,,Styrelsens vice ordförande,Styrelsens vice ordförande,vice ordförande,Styrelsens vice ordförande,,,,,,,,,,,,,,,,,,,1959,1969,10,False,VICE ORDFÖRANDE | vice ordförande | Styrelsens vice ordförande
"Emblad, Bernt",,,,,,,Suppleanter,Verkställande direktör,,,,direktör,direktör,Direktör,,Direktör,Direktör,,,,,,,,,,,,,1964,1975,9,False,Verkställande direktör | Suppleanter | direktör | Direktör
"Holmgren, Bertil",,,,,,,,,Bergsingenjör,,Bergsingenjör,,,,,,,,,,,,,,,,,,,1959,1969,9,False,Bergsingenjör
"Lindskog, Carl",,,,,,,,Direktör,Direktör,,Direktör,direktör,direktör,Direktör,,Direktör,,,,,,,,,,,,,,1966,1974,9,True,Direktör | direktör
"Bergenhem, Lars",,,,,,,,,,,,,,,,,,,,,SUPPLEANTER,SUPPLEANTER,,suppleant,Vice Ordförande,,,,,1979,1987,8,False,suppleant | SUPPLEANTER | Vice Ordförande
"Eriksson, Sam",,,,,,,,,,,,,,,,,,,,,,FACKLIGA STYRELSELEDAMÖTER,,facklig,,,,,,1980,1987,8,True,facklig | FACKLIGA STYRELSELEDAMÖTER
LANGENSKIÖLD,,,,,,,,Friherre,"Friherre, verkställande direktör",,Friherre,vice ordförande,styrelsens vice ordförande,,,,,,,,,,,,,,,,,1960,1971,8,False,"styrelsens vice ordförande | Friherre | Friherre, verkställande direktör | vice ordförande"
"Ramel, Stig",,,,,,,,,,,,,,,,,,,,,LEDAMÖTER,LEDAMÖTER,,,Verkställande Direktör,,,,,1976,1984,8,False,LEDAMÖTER | Verkställande Direktör
"Dahlberg, Bertil",,,,,,,,,,,,,,,,Stig Andersson,,,,"Direktör, Stockholm
V ordf",FACKLIGA STYRELSELEDAMÖTER,,,,,,,,,1974,1979,6,True,"Stig Andersson | Direktör, Stockholm
V ordf | FACKLIGA STYRELSELEDAMÖTER"
"Frisinger, Håkan",,,,,,,,,,,,,,,,,,,,,,,,,Verkställande Direktör,,,,,1982,1987,6,True,Verkställande Direktör
"Häggqvist, Sven",,,,,,,,,,,,,,Direktör,vice ordförande,Styrelsens ordförande,Styrelsens ordförande,ordf,Ordf.,,,,,,,,,,,1972,1977,6,True,Ordf. | vice ordförande | Styrelsens ordförande | Direktör | ordf
"Stormby, Nils",,,,,,,,,,,,,,,,,,,,,SUPPLEANTER,SUPPLEANTER,,suppleant,Klinikchef,,,,,1979,1986,6,False,suppleant | SUPPLEANTER | Klinikchef
"Karnéus, Gösta",vice ordförande,ORD,VICE ORDFÖRANDE,VICE ORDFÖRANDE,VICE ORDFÖRANDE,,,,,,,,,,,,,,,,,,,,,,,,,1959,1963,5,True,VICE ORDFÖRANDE | ORD | vice ordförande
"Rydelius, Leif",,,,,,,,,,,,,,,,Herbert Adamsson,,,,"Bruksdisponent, Gusum",,,,,,,,,,1974,1978,5,True,"Bruksdisponent, Gusum | Herbert Adamsson"
"Jensen, Claes-Göran",,,,,,,,,,,,,,,,,,,,,FACKLIGA STYRELSELEDAMÖTER,FACKLIGA STYRELSELEDAMÖTER,,facklig,,,,,,1979,1982,4,True,facklig | FACKLIGA STYRELSELEDAMÖTER
"Larson, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1986,4,True,
"Lundgren, Ulf",,,,,,,,,,,,,,,,,,,,,,,,"facklig, suppleant",,,,,,1982,1986,4,False,"facklig, suppleant"
"Andersson, Stig",,,,,,,,,,,,,,,,,,,,,FACKLIGA STYRELSELEDAMÖTER,,,,,,,,,1976,1979,3,False,FACKLIGA STYRELSELEDAMÖTER
"Brändström, Kjell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1987,3,True,
"Ekman, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1987,3,True,
"Kistner, Folke",,,,,,,Suppleanter,Direktör,,,,,,,,,,,,,,,,,,,,,,1964,1966,3,True,Direktör | Suppleanter
"Langenskiöld, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1964,3,True,
"Adamsson, Herbert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1977,2,True,
"Karnéus, Tryggve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,1965,2,True,
"Larsson, Kjell",,,,,,,,,,,,,,,,,,,,,FACKLIGA STYRELSELEDAMÖTER,FACKLIGA STYRELSELEDAMÖTER,,,,,,,,1979,1980,2,True,FACKLIGA STYRELSELEDAMÖTER
"Mårtensson, Thomas",,,,,,,,,,,,,,,,,,,,,,,,"facklig, suppleant",,,,,,1982,1983,2,True,"facklig, suppleant"
"Backman, Arne",,,,,,,,,,,,,,,,,,,,"Bankdirektör, Stockholm",,,,,,,,,,1978,1978,1,True,"Bankdirektör, Stockholm"
HOLMGREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1960,1,True,
"Haustrup, Poul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1976,1,True,
"Holmén, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1976,1,True,
"Karnéus, Richard",,,,,,,,Disponent,,,,,,,,,,,,,,,,,,,,,,1966,1966,1,True,Disponent
Langebæk,,,,,,,,,,,,,,,,,,,,"Landsretssagtörer,
Direktör, Stockholm",,,,,,,,,,1978,1978,1,True,"Landsretssagtörer,
Direktör, Stockholm"
"Nordenbäck, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1976,1,True,
"Wernersson, Allan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Wiklund, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,1987,1,True,
