Name,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,First Year,Last Year,Tenure,Consecutive,Positions
"MILLAR, JAMES",,,,,,,,,,,,v. Häradshövding,v. Häradshövding,,v. Häradshövding,v. Häradshövding,Kammarherre,v. Häradshövding,v. Häradshövding,,,1912,1929,15,False,Kammarherre | v. Häradshövding
"KUYLENSTJERNA, ARVID",,,,,,,,,,,,"Kammarherre, Byråchef","Kammarherre, Byråchef","Kammarherre, Byråchef","Kammarherre, Byråchef",Kammarherre,"Kammarherre, f. d. Byråchef","Kammarherre, f. d. Byråchef","Kammarherre, f. d. Byråchef",,"Kammarherre, f. d. Byråchef",1917,1931,14,False,"Kammarherre | Kammarherre, Byråchef | Kammarherre, f. d. Byråchef"
"AF SILLÉN, J. O.",,,,,,,,,,,,"Kammarherre, Verkställande direktör","Kammarherre, Verkställande direktör","Kammarherre, Verkställande direktör","Kammarherre, Verkställande direktör",Verkställande direktör,,,,,,1912,1926,13,False,"Verkställande direktör | Kammarherre, Verkställande direktör"
LAURELL,,,,,,,,,,,,"Överste, Styrelsens ordförande","Överste, Styrelsens ordförande",,,,,,,,,1911,1923,10,False,"Överste, Styrelsens ordförande"
"REUTERSKIÖLD, BERNH",,,,,,,,,,,,Kapten,Kapten,Kapten,Kapten,Kapten,Kapten,Kapten,,Kapten,Kapten,1921,1931,10,False,Kapten
"HAMMARSTRÖM, ALEXIS",,,,,,,,,,,,,,"Landshövding, Styrelsens ordförande","Landshövding, Styrelsens vice ordförande",vice ordförande,"Landshövding, vice ordförande","Landshövding, vice ordförande","Landshövding, vice ordförande",vice ordförande,"Landshövding, vice ordförande",1914,1931,9,False,"Landshövding, Styrelsens ordförande | Landshövding, vice ordförande | Landshövding, Styrelsens vice ordförande | vice ordförande"
"ROOS, O. W.",,,,,,,,,,,,Byråchef,Byråchef,Byråchef,Byråchef,Byråchef,Byråchef,Byråchef,,Byråchef,Byråchef,1922,1931,9,False,Byråchef
"ELLSÉN, A.",,,,,,,,,,,,,,,,,,,,,,1912,1919,7,False,
GRUNDSTRÖM,,,,,,,,,,,,,,,,,,,,,,1911,1920,7,False,
"LAGRELIUS, A.",,,,,,,,,,,,,,,Överintendent,Överintendent,Överintendent,Överintendent,Överintendent,Överintendent,Överintendent,1925,1931,7,True,Överintendent
"ÖSTERLÖF, AXEL",,,,,,,,,,,,,,,Häradshövding,Häradshövding,"f. d. Häradshövding, Verkställande direktör.","f. d. Häradshövding, Verkställande direktör","f. d. Häradshövding, Verkställande direktör.",Verkställande direktör,"f. d. Häradshövding, Verkställande direktör",1925,1931,7,True,"Häradshövding | f. d. Häradshövding, Verkställande direktör | Verkställande direktör | f. d. Häradshövding, Verkställande direktör."
"LETTSTRÖM, HARALD",,,,,,,,,,,,Bankdirektör,Bankdirektör,Bankdirektör,Bankdirektör,Bankdirektör,Bankdirektör,,,,,1922,1927,6,True,Bankdirektör
"PRINTZSKÖLD, OTTO",,,,,,,,,,,,,,,"Riksmarskalk, Styrelsens ordförande",ordförande,"Riksmarskalk, ordförande","Riksmarskalk, ordförande","Riksmarskalk, ordförande",,,1925,1929,5,True,"ordförande | Riksmarskalk, Styrelsens ordförande | Riksmarskalk, ordförande"
AF SILLÉN,,,,,,,,,,,,,,,,,ordförande,,,,,1911,1927,2,False,ordförande
"BERG, AUGUST",,,,,,,,,,,,,,,,,,v. Direktör,,v. Direktör,,1928,1930,2,False,v. Direktör
"GRUNDSTRÖM, J.",,,,,,,,,,,,,,,,,,,,,,1913,1918,2,False,
"LAURELL, A.",,,,,,,,,,,,,,,,,,,,,,1913,1918,2,False,
"ODENIUS, FRITH.",,,,,,,,,,,,Med. Doktor,Med. Doktor,,,,,,,,,1922,1923,2,True,Med. Doktor
"Trolle, Eric",,,,,,,,,,,,,,,,,,,,ordförande,"Riksmarskalk, ordförande",1930,1931,2,True,"ordförande | Riksmarskalk, ordförande"
"DRAKENBERG, JEAN",,,,,,,,,,,,,,,,,,,,,,1914,1914,1,True,
ELLSÉN,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
MILLAR,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
"SILLÉN, J. O.",,,,,,,,,,,,,,,,,,,,,,1918,1918,1,True,
